,job_id,client_id,final_job_status,city,almost_picking_at,pickup_at,almost_picking_at_vs_pickup_at
0,6064933,30361,finished,Barcelona,2019-02-18 09:48:28,2019-02-18 09:45:00,3.4666
1,6065060,75416,finished,Barcelona,2019-02-18 08:55:26,2019-02-18 08:45:00,10.4333
2,6065069,22836,finished,Barcelona,2019-02-18 09:40:33,2019-02-18 09:45:00,-4.45
3,6065119,102122,finished,Madrid,2019-02-18 10:13:43,2019-02-18 10:15:00,-1.2833
4,6065188,41146,finished,Madrid,2019-02-18 11:29:58,2019-02-18 11:30:00,-0.0333
5,6065350,30361,finished,Barcelona,2019-02-18 17:27:08,2019-02-18 17:15:00,12.1333
6,6065412,43919,finished,Barcelona,2019-02-18 09:34:35,2019-02-18 09:40:00,-5.4166
7,6065457,41146,finished,Madrid,2019-02-18 11:30:13,2019-02-18 11:30:00,0.2166
8,6065459,63619,finished,Barcelona,2019-02-18 11:58:03,2019-02-18 12:00:00,-1.95
9,6065801,30361,finished,Barcelona,2019-02-18 14:42:09,2019-02-18 14:45:00,-2.85
10,6065964,22836,finished,Barcelona,2019-02-18 11:15:38,2019-02-18 11:15:00,0.6333
11,6066033,30361,finished,Barcelona,2019-02-18 15:51:22,2019-02-18 15:45:00,6.3666
12,6066108,30361,finished,Barcelona,2019-02-18 17:11:04,2019-02-18 17:15:00,-3.9333
13,6067168,41143,finished,Madrid,2019-02-18 11:37:52,2019-02-18 11:30:00,7.8666
14,6067292,91963,finished,Barcelona,2019-02-18 11:41:58,2019-02-18 11:45:00,-3.0333
15,6068045,30361,finished,Barcelona,2019-02-18 18:39:51,2019-02-18 18:45:00,-5.15
16,6068487,30361,finished,Barcelona,2019-02-18 17:15:13,2019-02-18 17:15:00,0.2166
17,6068820,91963,finished,Barcelona,2019-02-18 12:53:59,2019-02-18 12:45:00,8.9833
18,6069322,40006,finished,Barcelona,2019-02-18 13:13:28,2019-02-18 13:11:42,1.7666
19,6069370,75413,finished,Barcelona,2019-02-18 14:30:03,2019-02-18 14:30:00,0.05
20,6069659,75413,finished,Barcelona,2019-02-18 17:18:17,2019-02-18 17:15:00,3.2833
21,6070367,30361,finished,Barcelona,2019-02-18 16:12:51,2019-02-18 16:15:00,-2.15
22,6070385,21371,finished,Barcelona,2019-02-18 15:02:48,2019-02-18 15:00:00,2.8
23,6070649,30361,finished,Barcelona,2019-02-18 16:09:36,2019-02-18 16:15:00,-5.4
24,6070991,30361,finished,Barcelona,2019-02-18 17:49:24,2019-02-18 17:45:00,4.4
25,6071391,22836,finished,Barcelona,2019-02-18 15:39:28,2019-02-18 15:45:00,-5.5333
26,6071650,41146,finished,Madrid,2019-02-18 16:06:25,2019-02-18 16:10:00,-3.5833
27,6072243,33596,finished,Madrid,2019-02-18 15:28:58,2019-02-18 15:30:00,-1.0333
28,6073185,30361,finished,Barcelona,2019-02-18 18:13:38,2019-02-18 18:15:00,-1.3666
29,6074644,30361,finished,Barcelona,2019-02-18 19:11:09,2019-02-18 19:15:00,-3.85
